"event_player_1_name","weighted_win_percentage","total_weighted","win_percentage","total_faceoffs","importance_factor"
"Mikko Rantanen",53.6004056795132,1380.4,53.4426229508197,610,2.26295081967213
"Ryan Johansen",53.5811530720966,1689.4,53.1442663378545,811,2.08310727496917
"Evan Rodrigues",53.4674922600619,323,53.2051282051282,156,2.07051282051282
"Dylan Strome",53.3406653835579,2909.6,52.5751072961373,1398,2.08125894134478
"Michael Amadio",53.3308931185944,273.2,52.3809523809524,147,1.85850340136054
"Sebastian Aho",53.3277201576792,2612.9,52.865213882163,1239,2.1088781275222
"Andrew Copp",53.3126293995859,2028.6,53.5464535464535,1001,2.02657342657343
"Ryan O'Reilly",53.2392703561089,3557.9,53.5202863961814,1676,2.12285202863962
"Radek Faksa",53.2097253804443,1143.4,53.7918871252205,567,2.01657848324515
"Sam Carrick",53.1481782253262,1847.1,53.4231200897868,891,2.07306397306398
"Sean Couturier",52.9925650557621,2690,53.4775888717156,1294,2.07882534775889
"Robert Thomas",52.9847733302572,3467.6,53.1231049120679,1649,2.10285021224985
"Eetu Luostarinen",52.9438202247191,445,53.2407407407407,216,2.06018518518518
"Michael McCarron",52.9229468939287,1419.8,53.0201342281879,745,1.90577181208054
"Nick Suzuki",52.8840361445783,2656,52.5553012967201,1311,2.02593440122044
"Thomas Bordeleau",52.8119180633147,268.5,52.8,125,2.148
"Brady Tkachuk",52.7934936350778,848.399999999999,52.6315789473684,380,2.23263157894737
"Casey Cizikas",52.7406725011515,1302.6,53.1490015360983,651,2.00092165898618
"Derek Ryan",52.7011744236625,1149.5,53.6312849162011,537,2.14059590316574
"Teddy Blueger",52.6719317461233,1734.7,53.2239155920281,853,2.03364595545135
"Pierre-Edouard Bellemare",52.4861048520354,665.7,53.5384615384615,325,2.04830769230769
"Adam Henrique",52.4819669588149,2578.6,52.6829268292683,1230,2.09642276422764
"Brendan Gaunce",52.4526198439242,358.8,53.8461538461538,182,1.97142857142857
"Lars Eller",52.3688179312497,1922.9,52.2532188841202,932,2.06319742489271
"Anthony Beauvillier",52.2884012539185,159.5,51.8987341772152,79,2.01898734177215
"Colton Sissons",52.284632738118,2615.30000000001,52.2745411013567,1253,2.08723064644853
"John Beecher",52.2588713459434,1279.4,52.8571428571429,630,2.03079365079365
"Chandler Stephenson",52.1906719773866,2334.9,51.9179304192685,1121,2.0828724353256
"Nick Foligno",52.1242001468583,953.3,52.4137931034483,435,2.19149425287356
"Josh Norris",51.9993498049415,1230.4,52.1462639109698,629,1.95612082670906
"Mark Jankowski",51.896256422804,408.7,51.7766497461929,197,2.0746192893401
"Jake Evans",51.8250313938886,2389,52.1547933157432,1137,2.10114335971856
"Jesperi Kotkaniemi",51.5070527097253,1347,51.7391304347826,690,1.95217391304348
